,name,type,typecode,biz_type,address,location,postcode,pcode,pname,citycode,cityname,adcode,adname,business_area,discount_num,cost,rating,meal_ordering,tel
0,江淮轿车(富侨店),汽车销售;汽车销售;汽车销售,20000,[],合江镇长江路267号,"105.826761,28.812128",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],3,None,0830-5266458
1,合江鑫盛汽贸,汽车销售;汽车销售;汽车销售,20000,[],合江镇符节路335号,"105.818888,28.818036",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-4293156;0830-5268276
2,北汽幻速直营店,汽车销售;汽车销售;汽车销售,20000,[],建设路上段与308省道交叉口西北50米,"105.819371,28.816624",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
3,华晨金杯,汽车销售;汽车销售;汽车销售,20000,[],建设路中段与长江路交叉口北50米,"105.825635,28.811666",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
4,九支鼎承,汽车销售;汽车销售;汽车销售,20000,[],枝园街40号附近,"105.696768,28.595376",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
5,东风汽车直营店,汽车销售;汽车销售;汽车销售,20000,[],三江街与建设路中段交叉口西北50米,"105.830208,28.809169",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
6,众幸汽贸公司,汽车销售;汽车销售;汽车销售,20000,[],华剪坝新街75号,"105.696243,28.595996",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-8880578
7,五菱汽车(符节路),汽车销售;汽车销售;汽车销售,20000,[],符节路东50米,"105.818672,28.818303",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
8,洪洋汽贸,汽车销售;汽车销售;汽车销售,20000,[],小康街与枝园街交叉口东南50米,"105.690100,28.585060",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
9,合江县协弘汽车销售有限公司,汽车销售;汽车销售;汽车销售,20000,[],建设路上段276-280号,"105.821039,28.816106",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],5,None,0830-5262869;18117969069
10,源鑫汽贸有限公司,汽车销售;汽车销售;汽车销售,20000,[],九支镇华剪坝新街二友酒楼旁边,"105.697273,28.597049",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5905028;18982406077
11,陆风汽车,汽车销售;汽车销售;汽车销售,20000,[],华剪坝新街58号附近,"105.696978,28.596792",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
12,众信汽车超市,汽车销售;汽车销售;汽车销售,20000,[],建设路上段177号附近,"105.822967,28.813694",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5240678
13,合江超越,汽车销售;汽车销售;汽车销售,20000,[],建设路上段521号,"105.825653,28.811661",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
14,万顺汽贸,汽车销售;汽车销售;汽车销售,20000,[],建设路上段4-6号附近,"105.825209,28.811935",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
15,五菱汽车销售服务店,汽车销售;汽车销售;汽车销售,20000,[],建设路上段137号,"105.824545,28.812866",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5240777
16,合江福禄汽贸,汽车销售;汽车销售;汽车销售,20000,[],008县道东50米,"105.916174,28.842652",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
17,吉利汽车,汽车销售;吉利特约销售;吉利销售,22300,[],008县道西50米,"105.911776,28.836739",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
18,吉利汽车合江众信直营店,汽车销售;吉利特约销售;吉利销售,22300,[],合江镇建设路上段181号,"105.822872,28.813768",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,13388298055
19,五菱汽车合江鑫盛汽贸,汽车销售;汽车销售;汽车销售|汽车维修;汽车维修;汽车维修,020000|030000,[],308省道东50米,"105.815506,28.818656",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
20,江淮轿车(富侨店),汽车销售;汽车销售;汽车销售,20000,[],合江镇长江路267号,"105.826761,28.812128",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],3,None,0830-5266458
21,合江鑫盛汽贸,汽车销售;汽车销售;汽车销售,20000,[],合江镇符节路335号,"105.818888,28.818036",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-4293156;0830-5268276
22,北汽幻速直营店,汽车销售;汽车销售;汽车销售,20000,[],建设路上段与308省道交叉口西北50米,"105.819371,28.816624",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
23,华晨金杯,汽车销售;汽车销售;汽车销售,20000,[],建设路中段与长江路交叉口北50米,"105.825635,28.811666",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
24,九支鼎承,汽车销售;汽车销售;汽车销售,20000,[],枝园街40号附近,"105.696768,28.595376",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
25,东风汽车直营店,汽车销售;汽车销售;汽车销售,20000,[],三江街与建设路中段交叉口西北50米,"105.830208,28.809169",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
26,众幸汽贸公司,汽车销售;汽车销售;汽车销售,20000,[],华剪坝新街75号,"105.696243,28.595996",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-8880578
27,五菱汽车(符节路),汽车销售;汽车销售;汽车销售,20000,[],符节路东50米,"105.818672,28.818303",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
28,洪洋汽贸,汽车销售;汽车销售;汽车销售,20000,[],小康街与枝园街交叉口东南50米,"105.690100,28.585060",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
29,合江县协弘汽车销售有限公司,汽车销售;汽车销售;汽车销售,20000,[],建设路上段276-280号,"105.821039,28.816106",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],5,None,0830-5262869;18117969069
30,源鑫汽贸有限公司,汽车销售;汽车销售;汽车销售,20000,[],九支镇华剪坝新街二友酒楼旁边,"105.697273,28.597049",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5905028;18982406077
31,陆风汽车,汽车销售;汽车销售;汽车销售,20000,[],华剪坝新街58号附近,"105.696978,28.596792",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
32,众信汽车超市,汽车销售;汽车销售;汽车销售,20000,[],建设路上段177号附近,"105.822967,28.813694",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5240678
33,合江超越,汽车销售;汽车销售;汽车销售,20000,[],建设路上段521号,"105.825653,28.811661",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
34,万顺汽贸,汽车销售;汽车销售;汽车销售,20000,[],建设路上段4-6号附近,"105.825209,28.811935",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
35,五菱汽车销售服务店,汽车销售;汽车销售;汽车销售,20000,[],建设路上段137号,"105.824545,28.812866",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5240777
36,合江福禄汽贸,汽车销售;汽车销售;汽车销售,20000,[],008县道东50米,"105.916174,28.842652",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
37,吉利汽车,汽车销售;吉利特约销售;吉利销售,22300,[],008县道西50米,"105.911776,28.836739",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
38,吉利汽车合江众信直营店,汽车销售;吉利特约销售;吉利销售,22300,[],合江镇建设路上段181号,"105.822872,28.813768",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,13388298055
39,五菱汽车合江鑫盛汽贸,汽车销售;汽车销售;汽车销售|汽车维修;汽车维修;汽车维修,020000|030000,[],308省道东50米,"105.815506,28.818656",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
40,东风风行,汽车销售;东风特约销售;东风销售,22200,[],华剪坝新街58号附近,"105.696967,28.596815",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
41,初箬新车折扣馆,汽车销售;汽车销售;汽车销售,20000,[],佛荔路初箬新车折扣馆(飞合驾校旁),"105.813389,28.821531",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,13628396965;13678408207
42,超越汽贸,汽车销售;汽车销售;汽车销售,20000,[],008县道东50米,"105.908230,28.832311",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
43,江淮轿车,汽车销售;汽车销售;汽车销售,20000,[],华剪坝新街西50米华剪坝社区居委会附近,"105.696664,28.597094",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
44,顺利汽贸,汽车销售;汽车销售;汽车销售,20000,[],白鹿加油站对面,"105.979342,28.911896",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
45,天桥富侨汽贸,汽车销售;汽车销售;汽车销售,20000,[],合江镇长途客运中心,"105.837715,28.809736",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
46,中国一汽(合江众驰直营店),汽车销售;汽车销售;汽车销售,20000,[],建设路上段276-280号附近,"105.821166,28.815924",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
47,合江万鑫汽车销售有限公司,汽车销售;汽车销售;汽车销售,20000,[],京奥大厦1号,"105.825202,28.811962",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5262800
48,合江县富侨汽车销售有限公司,汽车销售;汽车销售;汽车销售,20000,[],合江镇长江路317号,"105.826774,28.812221",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],1,None,0830-5266458
49,合江福禄汽车销售有限公司,汽车销售;汽车销售;汽车销售,20000,[],008县道东50米,"105.916173,28.842650",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,13541495004
50,东风悦达·起亚兴合特约店,汽车销售;汽车销售;汽车销售,20000,[],榕山镇川江路临港工业园东北300米,"105.911734,28.836677",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
51,合江鑫盛汽车贸易有限公司,汽车销售;东风特约销售;东风销售|汽车维修;东风特约维修;东风维修,022200|032300,[],建设路中段烈士陵园加油站对面,"105.829160,28.809870",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5268276;15681553667
52,泸州兴悦汽车贸易有限公司,汽车销售;汽车销售;汽车销售,20000,[],九支高速路口右转100米,"105.700304,28.606811",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-6570007;15808481999
53,合江胜友汽车销售有限公司,汽车销售;汽车销售;汽车销售,20000,[],建设路上段294号附近,"105.820387,28.816307",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-8882066;18982784180;18982466726
54,东风小康(合江金帆直营店),汽车销售;汽车销售;汽车销售,20000,[],建设路中段与长江路交叉口北50米,"105.825694,28.811704",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5263368
55,合江超越汽车销售有限公司,汽车销售;汽车销售;汽车销售,20000,[],合江镇建设路上段12号京奥大厦1楼,"105.827567,28.810101",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5858535;0830-6662356
56,长安汽车泸州万友直营店,汽车销售;汽车销售;汽车销售,20000,[],二转盘建设路上段74-82号,"105.824565,28.812841",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
57,东风悦达·起亚(城区专营店),汽车销售;汽车销售;汽车销售,20000,[],建设路上段155号附近,"105.823635,28.813211",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
58,长安汽车合江鼎鑫城区公司,汽车销售;汽车销售;汽车销售,20000,[],建设路中段513附近,"105.825644,28.811652",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,18982463222
59,合江万鑫汽车销售有限公司,汽车销售;汽车销售;汽车销售,20000,[],建设路上段少岷雅居,"105.819308,28.816549",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,15883061516
60,合江骏盛汽车销售服务有限公司,汽车销售;汽车销售;汽车销售,20000,[],临港工业园区联榕坝144号4栋,"105.911269,28.835965",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5050050
61,东风日产(金典·爱国店),汽车销售;日产特约销售;东风日产销售,20701,[],308省道东50米,"105.811207,28.823964",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
62,合江县佳新汽车销售有限公司,汽车销售;汽车销售;汽车销售,20000,[],华剪坝新街与迎宾大道交叉口东50米,"105.697709,28.597395",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-6379909
63,合江县天顺汽车销售有限公司,汽车销售;汽车销售;汽车销售,20000,[],月台村二社,"105.701775,28.608291",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-8565557;13982791077
64,合江县金典汽车销售有限公司,汽车销售;福特特约销售;林肯销售,21803,[],荔城大道325号,"105.811847,28.825942",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5858997
65,一汽-大众(合江店),汽车销售;大众特约销售;一汽-大众销售,20102,[],荔城大道325号附近,"105.811849,28.825945",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
66,合江合众汽车销售服务有限公司,汽车维修;大众特约维修;上海大众维修|汽车销售;大众特约销售;上海大众销售,030201|020101,[],临港工业园区联榕坝片区,"105.911928,28.837499",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5280555;0830-5280666
67,东风风光(斯柯达合江骏驰汽车店),汽车销售;汽车销售;汽车销售,20000,[],榕山镇川江路榕山法庭东北450米,"105.916036,28.842424",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
68,北汽新能源合江兴悦汽贸合江区域代理,汽车销售;汽车销售;汽车销售,20000,[],建设路上段270附近,"105.820291,28.816333",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
69,合江县鼎鑫汽车销售有限公司,汽车销售;长安汽车销售;长安汽车销售|汽车维修;长安汽车维修;长安汽车维修,023000|033100,[],合江临港工业园区榕山镇联榕坝村,"105.907078,28.832444",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-8885799;0830-8885999
70,哈弗合江协弘专营店,汽车销售;长城汽车销售;长城汽车销售,23300,[],建设路上段153号附近,"105.823599,28.813181",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
71,合江兴合汽车销售服务有限公司,汽车维修;起亚特约维修;东风悦达起亚维修|汽车销售;起亚特约销售;东风悦达起亚销售,031802|021702,[],榕山临港工业园区联榕坝汽车4S产业园,"105.911595,28.836656",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5286999
72,海马汽车泸州港虹,汽车销售;海马汽车销售;海马汽车销售,23100,[],008县道东50米,"105.913276,28.837984",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
73,上汽名爵,汽车销售;名爵销售;名爵销售,22700,[],建设路上段272附近,"105.820390,28.816305",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
74,合江嘉合汽车销售服务有限公司,汽车销售;长城汽车销售;长城汽车销售,23300,[],榕山镇临港工业园联榕坝片,"105.911884,28.837027",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5280888
